TimeStamp	GazePointXLeft	GazePointYLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	PupilRight	ValidityRight	GazePointX	GazePointY
0.0	0.0228	-0.0585	4.3681	1	0.0502	-0.0211	4.1162	1	0.0365	-0.0398
3.3	nan	nan	nan	0	nan	nan	nan	0	nan	nan
6.7	nan	nan	nan	0	nan	nan	nan	0	nan	nan
10.0	0.0240	-0.0589	4.3807	1	0.0470	-0.0275	4.1403	1	0.0355	-0.0432
13.3	0.0238	-0.0588	4.3671	1	0.0448	-0.0224	4.1697	1	0.0343	-0.0406
16.7	0.0249	-0.0551	4.3636	1	0.0436	-0.0353	4.1485	1	0.0343	-0.0452
20.0	0.0199	-0.0528	4.3613	1	0.0463	-0.0314	4.1421	1	0.0331	-0.0421
23.4	0.0202	-0.0619	4.3835	1	0.0426	-0.0352	4.1833	1	0.0314	-0.0486
26.7	0.0225	-0.0654	4.3814	1	0.0490	-0.0317	4.1951	1	0.0357	-0.0486
30.0	0.0246	-0.0580	4.3833	1	0.0420	-0.0349	4.1790	1	0.0333	-0.0464
33.3	0.0252	-0.0537	4.3676	1	0.0492	-0.0100	4.1479	1	0.0372	-0.0318
36.7	0.0218	-0.0587	4.3879	1	0.0471	-0.0256	4.2005	1	0.0344	-0.0421
40.1	0.0202	-0.0636	4.3952	1	0.0444	-0.0223	4.1607	1	0.0323	-0.0430
43.3	0.0219	-0.0640	4.3883	1	0.0482	-0.0309	4.1752	1	0.0350	-0.0474
46.7	0.0208	-0.0587	4.3887	1	0.0529	-0.0306	4.1548	1	0.0368	-0.0447
50.0	0.0232	-0.0570	4.3914	1	0.0437	-0.0292	4.2324	1	0.0334	-0.0431
53.4	0.0215	-0.0553	4.3845	1	0.0500	-0.0191	4.1726	1	0.0357	-0.0372
56.7	0.0191	-0.0536	4.3767	1	0.0442	-0.0254	4.1667	1	0.0317	-0.0395
60.0	0.0184	-0.0597	4.4007	1	0.0443	-0.0162	4.1621	1	0.0313	-0.0379
63.4	0.0235	-0.0598	4.4048	1	0.0474	-0.0257	4.1897	1	0.0354	-0.0428
66.7	0.0199	-0.0623	4.4133	1	0.0416	-0.0293	4.2037	1	0.0308	-0.0458
70.1	0.0228	-0.0608	4.4059	1	0.0412	-0.0102	4.1770	1	0.0320	-0.0355
73.3	0.0239	-0.0573	4.4099	1	0.0459	-0.0207	4.1612	1	0.0349	-0.0390
76.7	0.0219	-0.0607	4.4084	1	0.0463	-0.0269	4.1645	1	0.0341	-0.0438
80.0	0.0207	-0.0612	4.4144	1	0.0476	-0.0341	4.1785	1	0.0341	-0.0476
83.4	0.0221	-0.0598	4.4090	1	0.0482	-0.0195	4.1891	1	0.0352	-0.0397
86.7	0.0242	-0.0575	4.4229	1	0.0435	-0.0252	4.2161	1	0.0338	-0.0413
90.0	0.0239	-0.0583	4.4135	1	0.0442	-0.0195	4.2048	1	0.0341	-0.0389
93.4	0.0231	-0.0577	4.4241	1	0.0455	-0.0306	4.2000	1	0.0343	-0.0441
96.7	0.0221	-0.0567	4.4313	1	0.0445	-0.0266	4.1780	1	0.0333	-0.0417
100.0	0.0252	-0.0555	4.4314	1	0.0484	-0.0260	4.1992	1	0.0368	-0.0407
103.3	0.0241	-0.0556	4.4313	1	0.0445	-0.0242	4.1800	1	0.0343	-0.0399
106.7	0.0255	-0.0554	4.4309	1	0.0442	-0.0359	4.2180	1	0.0348	-0.0456
110.1	0.0219	-0.0539	4.4234	1	0.0445	-0.0357	4.2132	1	0.0332	-0.0448
113.3	0.0237	-0.0572	4.4310	1	0.0486	-0.0322	4.2363	1	0.0362	-0.0447
116.7	0.0225	-0.0580	4.4483	1	0.0479	-0.0241	4.2161	1	0.0352	-0.0411
120.0	0.0226	-0.0545	4.4349	1	0.0477	-0.0240	4.1995	1	0.0352	-0.0392
123.4	0.0242	-0.0546	4.4359	1	0.0453	-0.0226	4.1996	1	0.0347	-0.0386
126.7	0.0221	-0.0560	4.4534	1	0.0513	-0.0253	4.2050	1	0.0367	-0.0407
130.0	0.0228	-0.0558	4.4588	1	0.0520	-0.0094	4.1886	1	0.0374	-0.0326
133.3	0.0233	-0.0530	4.4431	1	0.0464	-0.0240	4.2362	1	0.0348	-0.0385
136.7	0.0222	-0.0518	4.4495	1	0.0442	-0.0253	4.2430	1	0.0332	-0.0386
140.1	0.0245	-0.0535	4.4459	1	0.0435	-0.0285	4.2577	1	0.0340	-0.0410
143.3	0.0231	-0.0568	4.4425	1	0.0494	-0.0218	4.2392	1	0.0362	-0.0393
146.7	0.0256	-0.0518	4.4437	1	0.0448	-0.0233	4.2297	1	0.0352	-0.0375
150.0	0.0248	-0.0483	4.4461	1	0.0455	-0.0217	4.2227	1	0.0352	-0.0350
153.4	0.0239	-0.0560	4.4545	1	0.0485	-0.0232	4.1949	1	0.0362	-0.0396
156.7	0.0241	-0.0541	4.4498	1	0.0458	-0.0289	4.2243	1	0.0350	-0.0415
160.0	0.0235	-0.0541	4.4642	1	0.0481	-0.0279	4.2161	1	0.0358	-0.0410
163.4	0.0238	-0.0557	4.4710	1	0.0484	-0.0185	4.2021	1	0.0361	-0.0371
166.7	0.0221	-0.0541	4.4708	1	0.0427	-0.0254	4.2254	1	0.0324	-0.0398
170.0	0.0114	-0.0577	4.4778	1	0.0339	-0.0250	4.2270	1	0.0226	-0.0414
173.3	-0.0051	-0.0564	4.4811	1	0.0274	-0.0235	4.2106	1	0.0112	-0.0400
176.7	-0.0153	-0.0498	4.4662	1	0.0135	-0.0306	4.2347	1	-0.0009	-0.0402
180.1	-0.0153	-0.0392	4.4484	1	0.0071	-0.0254	4.2460	1	-0.0041	-0.0323
183.3	-0.0154	-0.0442	4.4504	1	0.0120	-0.0253	4.2327	1	-0.0017	-0.0348
186.7	-0.0080	-0.0499	4.4615	1	0.0145	-0.0304	4.2472	1	0.0032	-0.0402
190.0	-0.0118	-0.0435	4.4605	1	0.0127	-0.0317	4.2659	1	0.0004	-0.0376
193.4	-0.0108	-0.0482	4.4708	1	0.0125	-0.0351	4.2474	1	0.0009	-0.0416
196.6	-0.0089	-0.0519	4.4915	1	0.0179	-0.0376	4.2567	1	0.0045	-0.0447
200.0	-0.0063	-0.0187	4.4027	1	0.0180	-0.0322	4.2605	1	0.0059	-0.0254
203.3	-0.0061	-0.0215	4.4084	1	0.0205	-0.0355	4.2563	1	0.0072	-0.0285
206.7	-0.0018	0.0031	4.3409	1	0.0189	-0.0218	4.2554	1	0.0085	-0.0093
210.0	-0.0035	0.0025	4.3410	1	0.0159	-0.0272	4.2488	1	0.0062	-0.0123
213.3	0.0008	-0.0002	4.3364	1	0.0137	-0.0270	4.2646	1	0.0072	-0.0136
216.7	-0.0047	-0.0111	4.3821	1	0.0137	-0.0260	4.2751	1	0.0045	-0.0186
220.0	-0.0058	-0.0029	4.3614	1	0.0132	-0.0269	4.2750	1	0.0037	-0.0149
223.4	-0.0032	-0.0052	4.3620	1	0.0157	-0.0208	4.2903	1	0.0063	-0.0130
226.7	-0.0093	0.0045	4.3418	1	0.0127	-0.0267	4.2940	1	0.0017	-0.0111
230.0	-0.0094	-0.0051	4.3691	1	0.0149	-0.0298	4.2704	1	0.0027	-0.0175
233.4	-0.0025	0.0103	4.3156	1	0.0145	-0.0288	4.2656	1	0.0060	-0.0093
236.7	0.0050	0.0123	4.3133	1	0.0135	-0.0307	4.2701	1	0.0092	-0.0092
240.0	-0.0013	0.0101	4.3295	1	0.0148	-0.0300	4.2707	1	0.0067	-0.0099
243.3	-0.0082	-0.0164	4.4028	1	0.0179	-0.0286	4.2733	1	0.0048	-0.0225
246.7	-0.0074	-0.0182	4.4084	1	0.0137	-0.0269	4.2591	1	0.0032	-0.0226
250.0	-0.0069	0.0030	4.3375	1	0.0171	-0.0272	4.2572	1	0.0051	-0.0121
253.3	-0.0129	-0.0236	4.4246	1	0.0170	-0.0264	4.2857	1	0.0021	-0.0250
256.6	-0.0049	0.0164	4.3259	1	0.0136	-0.0271	4.2699	1	0.0044	-0.0053
260.0	-0.0046	-0.0049	4.3864	1	0.0171	-0.0252	4.2609	1	0.0062	-0.0150
263.4	-0.0032	0.0068	4.3380	1	0.0230	-0.0269	4.2692	1	0.0099	-0.0100
266.6	-0.0133	-0.0011	4.3775	1	0.0207	-0.0306	4.2946	1	0.0037	-0.0158
270.0	-0.0096	-0.0284	4.4525	1	0.0230	-0.0200	4.2578	1	0.0067	-0.0242
273.3	-0.0124	-0.0319	4.4577	1	0.0190	-0.0245	4.3000	1	0.0033	-0.0282
276.7	-0.0116	-0.0349	4.4783	1	0.0182	-0.0332	4.2758	1	0.0033	-0.0340
280.0	-0.0104	-0.0348	4.4745	1	0.0185	-0.0301	4.2753	1	0.0041	-0.0324
283.3	-0.0116	-0.0312	4.4568	1	0.0198	-0.0318	4.2710	1	0.0041	-0.0315
286.7	-0.0086	-0.0369	4.4742	1	0.0140	-0.0334	4.2907	1	0.0027	-0.0351
290.0	-0.0064	-0.0138	4.4072	1	0.0186	-0.0251	4.3009	1	0.0061	-0.0194
293.4	-0.0124	-0.0300	4.4685	1	0.0170	-0.0265	4.2866	1	0.0023	-0.0282
296.6	-0.0124	-0.0264	4.4628	1	0.0188	-0.0116	4.2501	1	0.0032	-0.0190
300.0	-0.0108	-0.0326	4.4853	1	0.0205	-0.0209	4.2634	1	0.0049	-0.0268
303.3	-0.0109	-0.0286	4.4683	1	0.0118	-0.0228	4.3004	1	0.0004	-0.0257
306.7	-0.0103	-0.0251	4.4605	1	0.0153	-0.0154	4.2605	1	0.0025	-0.0202
309.9	-0.0117	-0.0256	4.4556	1	0.0191	-0.0259	4.2530	1	0.0037	-0.0257
313.3	-0.0093	-0.0236	4.4482	1	0.0194	-0.0245	4.2996	1	0.0050	-0.0240
316.7	-0.0101	-0.0206	4.4348	1	0.0143	-0.0206	4.2968	1	0.0021	-0.0206
320.0	-0.0111	-0.0275	4.4594	1	0.0166	-0.0256	4.2869	1	0.0028	-0.0265
323.3	-0.0114	-0.0211	4.4472	1	0.0183	-0.0189	4.2749	1	0.0034	-0.0200
326.6	-0.0088	-0.0249	4.4635	1	0.0154	-0.0280	4.2924	1	0.0033	-0.0264
330.0	-0.0048	-0.0102	4.4109	1	0.0152	-0.0189	4.2540	1	0.0052	-0.0145
333.3	-0.0106	-0.0316	4.4786	1	0.0170	-0.0185	4.2524	1	0.0032	-0.0250
336.7	-0.0117	-0.0259	4.4631	1	0.0172	-0.0129	4.2681	1	0.0028	-0.0194
340.0	-0.0085	-0.0242	4.4644	1	0.0155	-0.0188	4.2937	1	0.0035	-0.0215
343.3	-0.0096	-0.0292	4.4726	1	0.0137	-0.0220	4.2556	1	0.0021	-0.0256
346.7	-0.0075	-0.0237	4.4541	1	0.0191	-0.0228	4.2668	1	0.0058	-0.0232
349.9	-0.0075	-0.0216	4.4462	1	0.0174	-0.0304	4.2779	1	0.0049	-0.0260
353.3	-0.0058	-0.0131	4.4345	1	0.0153	-0.0276	4.2937	1	0.0048	-0.0204
356.6	-0.0052	-0.0079	4.4240	1	0.0156	-0.0195	4.2547	1	0.0052	-0.0137
360.0	-0.0082	-0.0281	4.4830	1	0.0199	-0.0086	4.2282	1	0.0058	-0.0184
363.4	-0.0095	-0.0293	4.4862	1	0.0147	-0.0206	4.2813	1	0.0026	-0.0250
366.6	-0.0066	-0.0182	4.4528	1	0.0158	-0.0219	4.2838	1	0.0046	-0.0200
370.0	-0.0062	-0.0128	4.4353	1	0.0206	-0.0220	4.2628	1	0.0072	-0.0174
373.3	-0.0079	-0.0178	4.4589	1	0.0146	-0.0175	4.3030	1	0.0034	-0.0176
376.7	-0.0061	-0.0137	4.4407	1	0.0122	-0.0209	4.2659	1	0.0030	-0.0173
380.0	-0.0110	-0.0180	4.4503	1	0.0173	-0.0220	4.2612	1	0.0032	-0.0200
383.3	-0.0041	-0.0210	4.4722	1	0.0219	-0.0161	4.2800	1	0.0089	-0.0185
386.6	-0.0073	-0.0135	4.4388	1	0.0148	-0.0166	4.2879	1	0.0038	-0.0151
390.0	-0.0106	-0.0222	4.4796	1	0.0162	-0.0252	4.2679	1	0.0028	-0.0237
393.3	-0.0084	-0.0192	4.4707	1	0.0158	-0.0148	4.2718	1	0.0037	-0.0170
396.6	-0.0096	-0.0230	4.4760	1	0.0162	-0.0198	4.2728	1	0.0033	-0.0214
400.0	-0.0099	-0.0200	4.4778	1	0.0178	-0.0173	4.2983	1	0.0040	-0.0187
403.3	-0.0081	-0.0161	4.4730	1	0.0165	-0.0098	4.2712	1	0.0042	-0.0129
406.7	-0.0134	-0.0192	4.4870	1	0.0148	-0.0113	4.2609	1	0.0007	-0.0153
410.0	-0.0363	-0.0229	4.4927	1	0.0041	-0.0115	4.2616	1	-0.0161	-0.0172
413.3	-0.0657	-0.0153	4.4927	1	-0.0215	-0.0066	4.2959	1	-0.0436	-0.0109
416.7	-0.0976	-0.0118	4.5220	1	-0.0408	-0.0019	4.2837	1	-0.0692	-0.0068
420.0	-0.1218	0.0174	4.4883	1	-0.0611	0.0120	4.2706	1	-0.0915	0.0147
423.3	-0.1490	0.0267	4.5003	1	-0.0824	0.0396	4.2585	1	-0.1157	0.0331
426.6	-0.1814	0.0386	4.5031	1	-0.1025	0.0646	4.2813	1	-0.1419	0.0516
430.0	-0.2126	0.0556	4.4980	1	-0.1236	0.0664	4.2517	1	-0.1681	0.0610
433.4	-0.2450	0.0726	4.4934	1	-0.1455	0.0985	4.2531	1	-0.1952	0.0855
436.6	-0.2708	0.0892	4.4785	1	-0.1666	0.1016	4.2657	1	-0.2187	0.0954
440.0	-0.2930	0.1054	4.4667	1	-0.1857	0.1290	4.2512	1	-0.2393	0.1172
443.3	-0.3208	0.1116	4.4851	1	-0.2061	0.1349	4.2485	1	-0.2635	0.1232
446.7	-0.3458	0.1187	4.4835	1	-0.2315	0.1241	4.2617	1	-0.2886	0.1214
449.9	-0.3744	0.1205	4.4958	1	-0.2588	0.1199	4.2430	1	-0.3166	0.1202
453.3	-0.4037	0.1275	4.4803	1	-0.2818	0.1313	4.1994	1	-0.3427	0.1294
456.6	-0.4312	0.1379	4.4716	1	-0.2963	0.1447	4.2521	1	-0.3637	0.1413
460.0	-0.4468	0.1543	4.4898	1	-0.3127	0.1751	4.2790	1	-0.3798	0.1647
463.3	-0.4757	0.1841	4.5090	1	-0.3274	0.1675	4.2391	1	-0.4016	0.1758
466.6	-0.5026	0.1988	4.5336	1	-0.3473	0.1528	4.1886	1	-0.4249	0.1758
470.0	-0.5290	0.1957	4.5274	1	-0.3712	0.1305	4.1671	1	-0.4501	0.1631
473.3	-0.5586	0.1779	4.4860	1	-0.4009	0.1183	4.1231	1	-0.4798	0.1481
476.7	-0.5913	0.1729	4.4495	1	-0.4146	0.0953	4.0852	1	-0.5030	0.1341
479.9	-0.5587	0.1071	4.3753	1	-0.4276	0.0718	4.0170	1	-0.4931	0.0894
483.3	-0.5722	0.0897	4.3408	1	-0.4448	0.0683	3.9991	1	-0.5085	0.0790
486.7	-0.5896	0.0682	4.2982	1	-0.4717	0.0703	3.9847	1	-0.5307	0.0692
490.0	-0.6179	0.0666	4.2777	1	-0.4979	0.0865	4.0129	1	-0.5579	0.0766
493.3	-0.6423	0.0608	4.2395	1	-0.5087	0.0808	4.0345	1	-0.5755	0.0708
496.6	-0.6639	0.0596	4.2325	1	-0.5226	0.0817	4.0359	1	-0.5933	0.0707
500.0	-0.6753	0.0645	4.2317	1	-0.5410	0.0747	4.0310	1	-0.6082	0.0696
503.3	-0.6854	0.0744	4.2438	1	-0.5602	0.0857	4.0176	1	-0.6228	0.0800
506.6	-0.6958	0.0846	4.2568	1	-0.5705	0.0903	4.0115	1	-0.6331	0.0875
509.9	-0.6998	0.1003	4.2768	1	-0.5853	0.1120	4.0639	1	-0.6425	0.1061
513.3	-0.6947	0.1204	4.3286	1	-0.5851	0.1133	4.0640	1	-0.6399	0.1168
516.7	-0.6833	0.1392	4.3491	1	-0.5882	0.1297	4.0925	1	-0.6358	0.1344
519.9	-0.6736	0.1659	4.4151	1	-0.5842	0.1327	4.0943	1	-0.6289	0.1493
523.3	-0.6526	0.1793	4.4440	1	-0.5756	0.1447	4.1419	1	-0.6141	0.1620
526.6	-0.6392	0.1834	4.4585	1	-0.5606	0.1552	4.1954	1	-0.5999	0.1693
530.0	-0.6383	0.1912	4.4646	1	-0.5463	0.1621	4.2216	1	-0.5923	0.1767
533.3	-0.6334	0.1966	4.4875	1	-0.5520	0.1726	4.2366	1	-0.5927	0.1846
536.6	-0.6317	0.1961	4.4977	1	-0.5569	0.1813	4.2570	1	-0.5943	0.1887
540.0	-0.6318	0.1944	4.4979	1	-0.5573	0.1939	4.2719	1	-0.5945	0.1941
543.3	-0.6369	0.2131	4.5488	1	-0.5733	0.2002	4.2710	1	-0.6051	0.2067
546.6	-0.6350	0.2053	4.5153	1	-0.5651	0.2110	4.2900	1	-0.6001	0.2081
549.9	-0.6276	0.1944	4.5049	1	-0.5660	0.2152	4.3051	1	-0.5968	0.2048
553.3	-0.6139	0.1877	4.4760	1	-0.5619	0.2185	4.3064	1	-0.5879	0.2031
556.6	-0.6015	0.1890	4.4916	1	-0.5507	0.2088	4.2992	1	-0.5761	0.1989
560.0	-0.5862	0.1941	4.4838	1	-0.5354	0.1929	4.2943	1	-0.5608	0.1935
563.3	-0.5803	0.1849	4.4974	1	-0.5246	0.1888	4.2507	1	-0.5524	0.1869
566.6	-0.5788	0.1848	4.5037	1	-0.5247	0.1891	4.2737	1	-0.5517	0.1869
570.0	-0.5774	0.1823	4.5160	1	-0.5273	0.1863	4.2570	1	-0.5523	0.1843
573.3	-0.5769	0.1883	4.5095	1	-0.5223	0.1925	4.2636	1	-0.5496	0.1904
576.6	-0.5804	0.1927	4.5040	1	-0.5275	0.1916	4.2552	1	-0.5540	0.1921
579.9	-0.5819	0.1966	4.5106	1	-0.5227	0.1873	4.2547	1	-0.5523	0.1920
583.3	-0.5798	0.1997	4.5131	1	-0.5278	0.1915	4.2578	1	-0.5538	0.1956
586.6	-0.5811	0.2008	4.5177	1	-0.5283	0.2003	4.2544	1	-0.5547	0.2005
589.9	-0.5782	0.2004	4.5153	1	-0.5288	0.1879	4.2664	1	-0.5535	0.1941
593.3	-0.5765	0.2010	4.5270	1	-0.5278	0.1855	4.2712	1	-0.5522	0.1933
596.6	-0.5781	0.1979	4.5395	1	-0.5292	0.1985	4.2597	1	-0.5536	0.1982
600.0	-0.5790	0.1994	4.5410	1	-0.5280	0.1898	4.2836	1	-0.5535	0.1946
603.3	-0.5799	0.2017	4.5338	1	-0.5285	0.1958	4.2795	1	-0.5542	0.1988
606.6	-0.5725	0.2067	4.5307	1	-0.5287	0.1978	4.2774	1	-0.5506	0.2022
609.9	-0.5747	0.2096	4.5357	1	-0.5308	0.2010	4.2723	1	-0.5527	0.2053
613.3	-0.5749	0.2123	4.5202	1	-0.5310	0.1952	4.2825	1	-0.5529	0.2038
616.6	-0.5766	0.2064	4.5432	1	-0.5276	0.1911	4.2931	1	-0.5521	0.1988
619.9	-0.5778	0.2069	4.5428	1	-0.5349	0.2078	4.2900	1	-0.5564	0.2074
623.3	-0.5775	0.2062	4.5416	1	-0.5325	0.2062	4.2904	1	-0.5550	0.2062
626.6	-0.5785	0.2059	4.5576	1	-0.5325	0.2050	4.2852	1	-0.5555	0.2054
630.0	-0.5808	0.2037	4.5533	1	-0.5230	0.2084	4.2652	1	-0.5519	0.2060
633.2	-0.5769	0.2039	4.5683	1	-0.5233	0.2077	4.2578	1	-0.5501	0.2058
636.6	-0.5745	0.2108	4.5503	1	-0.5230	0.2025	4.2557	1	-0.5487	0.2066
639.9	-0.5721	0.2051	4.5545	1	-0.5230	0.1977	4.2684	1	-0.5475	0.2014
643.3	-0.5723	0.2045	4.5377	1	-0.5254	0.1957	4.2653	1	-0.5488	0.2001
646.6	-0.5727	0.2079	4.5504	1	-0.5249	0.2061	4.2620	1	-0.5488	0.2070
649.9	-0.5756	0.1987	4.5652	1	-0.5255	0.1997	4.2836	1	-0.5506	0.1992
653.3	-0.5721	0.2059	4.5530	1	-0.5292	0.2005	4.2851	1	-0.5507	0.2032
656.6	-0.5750	0.2080	4.5531	1	-0.5293	0.2012	4.2907	1	-0.5522	0.2046
659.9	-0.5728	0.2047	4.5652	1	-0.5261	0.2119	4.2896	1	-0.5494	0.2083
663.2	-0.5711	0.2083	4.5560	1	-0.5313	0.2059	4.2923	1	-0.5512	0.2071
666.6	-0.5704	0.2089	4.5549	1	-0.5229	0.2061	4.2564	1	-0.5467	0.2075
670.0	-0.5745	0.2070	4.5403	1	-0.5241	0.2122	4.2476	1	-0.5493	0.2096
673.3	-0.5728	0.2078	4.5518	1	-0.5196	0.1953	4.2467	1	-0.5462	0.2015
676.6	-0.5718	0.2078	4.5547	1	-0.5215	0.1931	4.2740	1	-0.5466	0.2004
679.9	-0.5734	0.2112	4.5460	1	-0.5196	0.2005	4.2802	1	-0.5465	0.2059
683.3	-0.5714	0.2105	4.5592	1	-0.5246	0.2029	4.2700	1	-0.5480	0.2067
686.6	-0.5695	0.2059	4.5628	1	-0.5272	0.2054	4.2743	1	-0.5483	0.2056
689.9	-0.5778	0.2067	4.5464	1	-0.5317	0.2099	4.2845	1	-0.5548	0.2083
693.2	-0.5729	0.2181	4.5668	1	-0.5296	0.2095	4.2797	1	-0.5512	0.2138
696.6	-0.5712	0.2208	4.5677	1	-0.5227	0.2142	4.2536	1	-0.5469	0.2175
700.0	-0.5693	0.2097	4.5484	1	-0.5214	0.1939	4.2527	1	-0.5454	0.2018
703.2	-0.5714	0.2119	4.5551	1	-0.5205	0.1960	4.2567	1	-0.5459	0.2040
706.6	-0.5698	0.2122	4.5404	1	-0.5227	0.2044	4.2567	1	-0.5462	0.2083
709.9	-0.5712	0.2045	4.5658	1	-0.5249	0.2026	4.2668	1	-0.5480	0.2035
713.3	-0.5742	0.2088	4.5549	1	-0.5285	0.2018	4.2584	1	-0.5513	0.2053
716.5	-0.5744	0.2039	4.5681	1	-0.5292	0.2044	4.2633	1	-0.5518	0.2041
719.9	-0.5718	0.2015	4.5662	1	-0.5302	0.2120	4.2691	1	-0.5510	0.2067
723.3	-0.5744	0.2054	4.5486	1	-0.5228	0.2027	4.2542	1	-0.5486	0.2041
726.6	-0.5729	0.2015	4.5632	1	-0.5196	0.2107	4.2240	1	-0.5463	0.2061
729.9	-0.5694	0.2071	4.5628	1	-0.5181	0.1982	4.2418	1	-0.5438	0.2026
733.2	-0.5738	0.2059	4.5465	1	-0.5263	0.2000	4.2303	1	-0.5501	0.2030
736.6	-0.5718	0.2015	4.5603	1	-0.5179	0.1956	4.2422	1	-0.5449	0.1985
740.0	-0.5735	0.2065	4.5446	1	-0.5235	0.2058	4.2576	1	-0.5485	0.2062
743.3	-0.5736	0.2042	4.5609	1	-0.5270	0.2178	4.2419	1	-0.5503	0.2110
746.6	-0.5734	0.2130	4.5453	1	-0.5299	0.2128	4.2447	1	-0.5517	0.2129
749.9	-0.5762	0.2014	4.5660	1	-0.5280	0.2145	4.2371	1	-0.5521	0.2080
753.3	-0.5730	0.2047	4.5614	1	-0.5306	0.2145	4.2580	1	-0.5518	0.2096
756.6	-0.5757	0.2084	4.5595	1	-0.5302	0.2182	4.2609	1	-0.5530	0.2133
759.9	-0.5722	0.2070	4.5515	1	-0.5283	0.2180	4.2369	1	-0.5503	0.2125
763.3	-0.5695	0.2140	4.5414	1	-0.5252	0.2146	4.2392	1	-0.5473	0.2143
766.6	-0.5728	0.2122	4.5467	1	-0.5263	0.2138	4.2249	1	-0.5496	0.2130
770.0	-0.5706	0.2122	4.5405	1	-0.5288	0.2190	4.2186	1	-0.5497	0.2156
773.2	-0.5724	0.2134	4.5428	1	-0.5270	0.2070	4.2292	1	-0.5497	0.2102
776.6	-0.5760	0.2084	4.5393	1	-0.5288	0.2161	4.1880	1	-0.5524	0.2123
779.9	-0.5727	0.2075	4.5454	1	-0.5264	0.2224	4.2180	1	-0.5495	0.2150
783.3	-0.5751	0.2084	4.5489	1	-0.5237	0.2116	4.2209	1	-0.5494	0.2100
786.5	-0.5760	0.2102	4.5590	1	-0.5258	0.2115	4.2285	1	-0.5509	0.2109
789.9	-0.5709	0.2072	4.5563	1	-0.5282	0.2179	4.2197	1	-0.5495	0.2125
793.3	-0.5764	0.2092	4.5637	1	-0.5271	0.2172	4.2213	1	-0.5518	0.2132
796.6	-0.5698	0.2065	4.5670	1	-0.5306	0.2162	4.2133	1	-0.5502	0.2113
799.9	-0.5720	0.2118	4.5804	1	-0.5286	0.2190	4.2185	1	-0.5503	0.2154
803.2	-0.5755	0.2069	4.5617	1	-0.5288	0.2254	4.2090	1	-0.5521	0.2162
806.6	-0.5702	0.2087	4.5498	1	-0.5277	0.2187	4.2314	1	-0.5490	0.2137
809.9	-0.5676	0.2089	4.5488	1	-0.5303	0.2167	4.2065	1	-0.5489	0.2128
813.3	-0.5710	0.2074	4.5489	1	-0.5272	0.2166	4.1936	1	-0.5491	0.2120
816.6	-0.5720	0.2100	4.5493	1	-0.5261	0.2093	4.1975	1	-0.5490	0.2096
819.9	-0.5703	0.2066	4.5491	1	-0.5234	0.2089	4.1977	1	-0.5469	0.2077
823.3	-0.5664	0.2045	4.5615	1	-0.5277	0.2096	4.1777	1	-0.5470	0.2070
826.6	-0.5686	0.2122	4.5553	1	-0.5271	0.2089	4.2033	1	-0.5478	0.2106
829.9	-0.5698	0.1984	4.5625	1	-0.5271	0.2142	4.1826	1	-0.5485	0.2063
833.2	-0.5725	0.2023	4.5569	1	-0.5277	0.2106	4.1966	1	-0.5501	0.2065
836.6	-0.5717	0.2020	4.5571	1	-0.5295	0.2135	4.2030	1	-0.5506	0.2077
840.0	-0.5705	0.2018	4.5727	1	-0.5342	0.2094	4.2052	1	-0.5523	0.2056
